cod.munic;latitude;longitude
1505007;-1.206;-47.386
1505031;-7.147;-55.382
1505064;-4.331;-49.796
1505106;-1.918;-55.518
1505205;-2.003;-49.854
1505304;-1.766;-55.866
1505403;-1.548;-47.119
1505437;-6.755;-51.084
1505486;-3.838;-50.638
1505494;-5.742;-48.317
1505502;-2.995;-47.353
1505536;-6.068;-49.902
1505551;-7.833;-50.044
1505601;-1.192;-47.314
1505635;-6.438;-48.872
1505650;-3.868;-54.22
1505700;-1.39;-48.871
1505809;-1.936;-50.821
1505908;-1.748;-52.238
1506005;-1.8;-53.48
1506104;-0.943;-47.116
1506112;-0.901;-47.006
1506138;-8.029;-50.031
1506161;-7.311;-50.048
1506187;-4.776;-48.067
1506195;-4.096;-54.91
1506203;-0.629;-47.356
1506302;-0.753;-48.517
1506351;-1.224;-48.294
1506401;-0.664;-49.163
1506500;-1.299;-48.161
1506559;-1.517;-46.942
1506583;-8.855;-49.722
1506609;-1.352;-47.576
1506708;-9.505;-50.625
1506807;-2.443;-54.708
1506906;-0.929;-47.397
1507003;-1.152;-48.129
1507102;-0.75;-48.02
1507151;-5.538;-48.733
1507201;-1.675;-47.775
1507300;-6.645;-51.995
1507409;-1.169;-47.795
1507458;-6.401;-48.555
1507466;-0.85;-47.92
1507474;-0.769;-47.174
1507508;-5.358;-48.791
1507607;-1.627;-47.483
1507706;-1.718;-49.541
1507755;-6.947;-49.682
1507805;-2.591;-51.954
1507904;-0.717;-48.523
1507953;-2.947;-48.953
1507961;-1.038;-47.908
1507979;-2.104;-56.487
1508001;-2.419;-48.152
1508035;-1.072;-46.897
1508050;-4.574;-55.944
1508084;-6.748;-51.161
1508100;-3.768;-49.673
1508126;-3.756;-47.501
1508159;-3.718;-53.737
1508209;-0.858;-48.142
1508308;-1.197;-46.14
1508357;-2.88;-52.01
1508407;-7.095;-49.946
1600055;0.896;-52.002
1600105;2.053;-50.793
1600154;0.778;-51.944
1600204;2.498;-50.949
1600212;0.986;-50.802
1600238;0.858;-51.18
1600253;-0.596;-50.671
1600279;-0.842;-52.516
1600303;0.039;-51.066
1600402;-0.115;-51.289
1600501;3.843;-51.835
1600535;0.713;-51.413
1600550;1.743;-50.791
1600600;-0.058;-51.182
1600709;1.506;-50.912
1600808;-0.938;-52.424
1700251;-9.621;-49.151
1700301;-6.563;-47.466
1700350;-11.306;-48.936
1700400;-11.574;-47.17
1700707;-12.48;-49.125
1701002;-6.366;-48.073
1701051;-6.39;-47.865
1701101;-9.952;-47.972
1701309;-7.162;-48.528
1701903;-8.804;-49.556
1702000;-12.931;-49.826
1702109;-7.191;-48.207
1702158;-6.581;-48.644
1702208;-5.651;-48.124
1702307;-7.658;-49.064
1702406;-12.931;-46.938
1702554;-5.466;-47.888
1702703;-12.713;-46.408
1702901;-5.617;-47.769
1703008;-7.205;-47.757
1703057;-7.756;-48.584
1703073;-7.689;-47.683
1703107;-9.836;-48.725
1703206;-7.874;-48.888
1703305;-8.965;-48.166
1703602;-8.388;-48.481
1703701;-11;-48.566
1703800;-5.316;-48.229
1703826;-6.122;-47.922
1703842;-7.994;-46.868
1703867;-11.891;-49.161
1703883;-7.033;-48.396
1703891;-5.322;-48.035
1703909;-9.278;-49.956
1704105;-8.951;-47.336
1704600;-10.144;-49.14
1705102;-11.617;-47.751
1705508;-8.059;-48.475
1705557;-12.792;-46.539
1705607;-12.219;-47.298
1706001;-8.284;-49.247
1706100;-10.6;-49.193
1706258;-11.1;-48.919
1706506;-6.713;-47.76
1707009;-11.628;-46.821
1707108;-9.8;-49.214
1707207;-9.258;-49.064
1707306;-11.344;-49.271
1707405;-5.343;-48.511
1707553;-10.761;-48.907
1707652;-12.131;-49.174
1707702;-7.336;-47.49
1708205;-11.797;-49.529
1708254;-9.057;-48.519
1708304;-8.776;-48.932
1709005;-7.71;-47.314
1709302;-8.834;-48.51
1709500;-11.729;-49.069
1709807;-11.239;-48.463
1710508;-8.392;-47.768
1710706;-5.768;-47.481
1710904;-8.384;-48.111
1711100;-8.571;-48.689
1711506;-12.654;-48.594
1711803;-8.119;-49.065
1711902;-10.794;-49.624
1711951;-10.378;-47.551
1712009;-9.751;-48.358
1712157;-12.789;-46.506
1712405;-9.594;-46.673
1712454;-6.182;-47.856
1712504;-9.796;-49.654
1712702;-10.548;-46.421
1712801;-5.953;-47.506
1713205;-9.567;-48.392
1713304;-9.529;-48.59
1713601;-10.763;-48.109
1713700;-10.004;-48.995
1713809;-6.613;-47.546
1713957;-7.147;-48.611
1714203;-11.71;-47.723
1714302;-6.372;-47.664
1714880;-7.632;-48.423
1715002;-10.567;-48.914
1715101;-9.963;-47.677
1715150;-12.931;-46.574
1715259;-11.824;-46.628
1715507;-10.708;-48.907
1715705;-7.86;-47.926
1715754;-13.044;-48.402
1716109;-10.176;-48.867
1716208;-12.615;-47.883
1716307;-7.54;-49.372
1716505;-8.968;-48.175
1716604;-12.025;-48.539
1716653;-8.595;-48.934
1716703;-8.729;-48.765
1717008;-11.139;-47.579
1717206;-6.774;-48.297
1717503;-10.443;-49.182
1717800;-12.091;-46.479
1717909;-10.744;-47.536
1718006;-11.609;-47.049
1718204;-10.708;-48.417
1718303;-5.393;-47.811
1718402;-8.539;-48.506
1718451;-10.424;-48.894
1718501;-8.737;-47.247
1718550;-6.438;-48.137
1718659;-11.4;-46.883
1718709;-9.293;-48.466
1718758;-9.344;-47.902
1718808;-5.348;-47.873
1718840;-12.537;-49.925
1718865;-7.157;-48.721
1718881;-8.797;-47.795
1718899;-10.861;-48.914
1718907;-11.449;-48.121
1719004;-10.282;-47.808
1720002;-6.434;-47.673
1720101;-5.915;-48.06
1720150;-10.168;-46.659
1720200;-5.555;-47.575
1720259;-12.744;-48.236
1720309;-5.257;-48.2
1720499;-11.975;-48.234
1720655;-11.147;-48.169
1720804;-5.601;-47.638
1720853;-11.993;-48.971
1720903;-12.404;-46.436
1720937;-12.188;-46.989
1720978;-12.795;-49.093
1721000;-10.167;-48.333
1721109;-9.564;-48.377
1721208;-6.329;-47.416
1721257;-8.973;-48.188
1721307;-8.394;-48.116
1722081;-6.849;-47.963
1722107;-6.411;-48.536
2100055;-4.947;-47.505
2100105;-4.133;-43.324
2100154;-2.841;-42.112
2100204;-2.409;-44.415
2100303;-4.628;-43.471
2100402;-4.165;-45.47
2100436;-4.213;-44.446
2100477;-3.69;-45.903
2100501;-9.111;-45.93
2100550;-1.675;-46.002
2100600;-5.567;-46.742
2100709;-3.264;-44.62
2100808;-3.672;-43.116
2100832;-1.461;-45.103
2100873;-2.953;-45.665
2100907;-2.89;-41.903
2100956;-4.733;-45.908
2101004;-3.454;-44.78
2101103;-2.837;-44.053
2101202;-4.225;-44.78
2101251;-2.971;-44.316
2101301;-1.703;-45.134
2101350;-2.706;-44.738
2101400;-7.533;-46.036
2101509;-6.756;-43.024
2101608;-5.506;-45.243
2101707;-2.747;-42.826
2101731;-3.155;-43.51
2101772;-3.731;-45.315
2101806;-7.223;-44.558
2101905;-2.449;-44.783
2101939;-4.584;-44.764
2101970;-1.788;-46.303
2102002;-3.565;-45.994
2102036;-4.42;-46.765
2102077;-4.22;-45.039
2102101;-3.684;-42.75
2102150;-4.334;-45.581
2102200;-3.942;-42.925
2102309;-5.837;-43.834
2102325;-4.346;-46.401
2102358;-5.593;-47.018
2102374;-2.927;-44.058
2102408;-2.881;-44.675
2102507;-3.321;-45.011
2102556;-6.172;-47.364
2102606;-1.447;-45.717
2102705;-3.633;-44.377
2102754;-4.728;-44.327
2102804;-7.333;-47.469
2102903;-1.195;-46.02
2103000;-4.859;-43.356
2103109;-2;-44.536
2103125;-2.199;-44.826
2103158;-2.369;-46.002
2103174;-2.107;-46.128
2103208;-3.742;-43.36
2103257;-5.174;-47.782
2103307;-4.455;-43.886
2103406;-4.257;-43.013
2103505;-6.026;-44.249
2103554;-3.834;-44.893
2103604;-4.13;-44.124
2103703;-1.828;-44.868
2103752;-5.558;-47.426
2103802;-5.033;-44.436
2103901;-4.156;-42.944
2104008;-4.883;-44.688
2104057;-6.561;-47.451
2104073;-6.96;-46.686
2104081;-6.152;-44.893
2104099;-6.435;-46.191
2104107;-6.964;-46.177
2104206;-5.733;-44.158
2104305;-1.403;-45.78
2104404;-5.151;-44.299
2104503;-5.022;-44.271
2104552;-5.749;-47.361
2104602;-5.323;-44.247
2104628;-5.469;-44.074
2104651;-3.426;-45.676
2104677;-2.126;-45.885
2104701;-5.41;-44.334
2104800;-5.819;-46.139
2104909;-2.133;-44.601
2105005;-2.598;-43.461
2105104;-2.776;-44.066
2105153;-3.661;-45.227
2105203;-4.585;-44.853
2105302;-5.526;-47.476
2105351;-5.145;-45.791
2105401;-3.393;-44.359
2105427;-4.45;-47.526
2105450;-5.817;-44.223
2105476;-5.371;-45.636
2105500;-5.448;-47.401
2105609;-4.967;-44.7
2105658;-1.844;-46.092
2105708;-4.57;-45.132
2105807;-4.609;-45.049
2105906;-3.957;-44.822
2105922;-6.047;-43.526
2105948;-4.609;-44.98
2105963;-4.813;-45.33
2105989;-6.189;-47.035
2106003;-4.52;-44.467
2106102;-7.084;-45.141
2106201;-1.268;-45.873
2106300;-3.396;-42.204
2106326;-2.043;-45.959
2106359;-4.599;-45.577
2106375;-2.241;-45.851
2106409;-3.625;-43.111
2106508;-3.101;-45.034
2106607;-5.519;-43.199
2106631;-3.632;-44.556
2106672;-3.581;-42.609
2106706;-6.371;-44.363
2106755;-3.569;-44.584
2106805;-2.065;-44.784
2106904;-3.492;-45.251
2107001;-5.831;-47.067
2107100;-2.864;-44.039
2107209;-3.466;-43.905
2107258;-7.116;-46.257
2107308;-6.734;-44.044
2107357;-2.847;-45.695
2107407;-4.139;-45.12
2107456;-2.998;-44.997
2107506;-2.532;-44.108
2107605;-2.645;-44.895
2107704;-6.433;-43.984
2107803;-5.682;-43.093
2107902;-6.18;-43.784
2108009;-6.602;-44.077
2108058;-2.719;-42.533
2108108;-4.445;-45.239
2108207;-4.574;-44.597
2108256;-2.973;-45.349
2108306;-3.294;-45.174
2108405;-2.578;-44.854
2108454;-4.383;-44.333
2108504;-3.608;-45.343
2108603;-2.521;-45.083
2108702;-3.894;-45.17
2108801;-3.727;-44.223
2108900;-4.746;-44.943
2109007;-6.338;-47.399
2109056;-1.893;-44.605
2109106;-5.29;-44.49
2109205;-2.928;-44.065
2109239;-2.387;-45.82
2109270;-2.591;-45.364
2109304;-3.407;-44.024
2109403;-2.51;-43.438
2109452;-2.423;-44.103
2109502;-7.362;-46.617
2109551;-5.93;-47.384
2109601;-2.934;-44.235
2109700;-7.14;-45.346
2109759;-5.501;-44.561
2109809;-2.231;-45.3
2109908;-3.667;-45.38
2110005;-4.069;-45.69
2110039;-2.629;-45.773
2110104;-3.516;-42.547
2110203;-3.144;-44.326
2110237;-3.116;-42.412
2110278;-2.5;-43.254
2110302;-4.869;-44.36
2110401;-3.334;-43.528
2110500;-2.696;-44.821
2110609;-3.361;-42.418
2110658;-6.81;-44.645
2110708;-5.576;-44.385
2110807;-7.083;-44.813
2110856;-5.123;-47.386
2110906;-6.251;-42.857
2111003;-2.955;-44.807
2111029;-3.554;-46.256
2111052;-6.461;-47.058
2111078;-5.114;-43.81
2111102;-6.495;-43.702
2111201;-2.562;-44.054
2111250;-5.051;-44.584
2111300;-2.53;-44.303
2111409;-4.38;-44.67
2111508;-4.04;-44.47
2111532;-5.085;-48.429
2111573;-6.826;-46.532
2111607;-7.022;-45.481
2111631;-5.105;-45.077
2111672;-5.021;-44.991
2111706;-2.894;-44.88
2111722;-4.039;-45.238
2111748;-5.256;-44.056
2111763;-5.443;-47.291
2111789;-1.856;-45.123
2111805;-5.878;-46.699
2111904;-6.477;-44.192
2111953;-6.411;-43.546
2112001;-8.475;-45.743
2112100;-4.255;-43.941
2112209;-5.094;-42.837
2112233;-4.538;-44.628
2112274;-3.729;-45.554
2112308;-5.258;-44.649
2112407;-1.663;-45.372
2112456;-2.201;-45.343
2112506;-2.762;-42.274
2112605;-3.208;-43.404
2112704;-3.543;-43.916
2112803;-3.22;-45.004
2112852;-5.188;-48.136
2112902;-3.462;-44.871
2113009;-4.282;-45.251
2114007;-3.243;-45.824
2200053;-8.215;-41.082
2200103;-5.799;-42.669
2200202;-5.89;-42.638
2200251;-7.008;-40.939
2200277;-7.243;-40.858
2200301;-5.251;-42.21
2200400;-5.039;-42.461
2200459;-8.424;-43.777
2200509;-6.241;-42.855
2200608;-6.086;-42.739
2200707;-9.189;-43.046
2200806;-7.219;-44.198
2200905;-6.119;-41.793
2200954;-7.276;-41.564
2201002;-6.655;-42.532
2201051;-5.198;-41.044
2201101;-10.137;-43.949
2201150;-7.85;-45.214
2201176;-6.517;-42.114
2201200;-4.247;-42.296
2201309;-9.925;-45.475
2201408;-5.818;-42.513
2201507;-4.024;-42.078
2201556;-7.989;-41.868
2201572;-7.376;-40.972
2201606;-5.455;-42.36
2201705;-7.641;-43.951
2201739;-8.148;-40.796
2201770;-4.411;-42.086
2201804;-6.943;-41.323
2201903;-9.074;-44.359
2201919;-3.191;-41.645
2201929;-9.166;-42.874
2201945;-4.487;-42.074
2201960;-4.131;-41.782
2201988;-8.214;-42.826
2202000;-3.175;-41.867
2202026;-5.312;-41.098
2202059;-4.476;-42.309
2202075;-6.766;-42.392
2202083;-2.928;-41.336
2202091;-7.332;-40.637
2202109;-7.66;-41.882
2202117;-8.376;-41.836
2202133;-7.132;-41.036
2202174;-3.812;-42.629
2202208;-4.828;-42.169
2202251;-7.688;-43.721
2202307;-8.11;-42.944
2202406;-4.457;-41.944
2202455;-8.49;-41.82
2202505;-9.279;-43.33
2202539;-3.476;-41.843
2202554;-7.733;-40.99
2202604;-5.322;-41.553
2202653;-3.418;-41.896
2202703;-3.471;-41.555
2202711;-4.559;-41.972
2202729;-3.729;-41.449
2202737;-5.094;-42.207
2202752;-8.182;-43.792
2202778;-7.231;-42.178
2202802;-7.878;-41.597
2202851;-8.816;-42.513
2202901;-10.443;-45.162
2203008;-10.653;-45.185
2203107;-8.818;-44.224
2203206;-10.036;-44.306
2203230;-9.007;-44.411
2203255;-5.583;-42.778
2203271;-7.832;-40.901
2203305;-5.358;-42.676
2203354;-9.338;-42.428
2203404;-6.959;-41.641
2203420;-4.254;-41.27
2203453;-9.002;-41.974
2203503;-6.202;-42.14
2203602;-8.097;-43.664
2203701;-3.902;-42.234
2203750;-9.484;-42.791
2203800;-7.791;-42.927
2203859;-7.469;-41.794
2203909;-6.767;-43.023
2204006;-6.396;-42.262
2204105;-6.623;-42.693
2204154;-7.331;-40.788
2204204;-6.993;-41.138
2204303;-7.088;-40.616
2204352;-7.158;-41.361
2204402;-9.832;-45.344
2204501;-6.787;-43.569
2204550;-9.398;-43.687
2204600;-5.989;-42.556
2204659;-2.858;-41.821
2204709;-6.668;-41.708
2204808;-6.828;-41.741
2204907;-7.738;-41.676
2205003;-7.447;-41.478
2205102;-7.603;-43.026
2205151;-7.935;-41.21
2205201;-7.359;-41.138
2205250;-6.099;-42.63
2205276;-4.771;-41.818
2205300;-7.088;-43.51
2205359;-8.511;-42.414
2205409;-3.508;-42.198
2205458;-3.478;-42.428
2205508;-4.756;-42.576
2205516;-5.172;-41.703
2205524;-10.323;-44.238
2205532;-9.231;-43.128
2205540;-5.831;-42.623
2205557;-4.516;-42.625
2205565;-8.478;-41.527
2205573;-4.392;-41.601
2205581;-5.415;-42.643
2205599;-6.513;-41.584
2205607;-7.266;-43.93
2205706;-2.879;-41.667
2205805;-3.458;-42.37
2205854;-3.483;-42.504
2205904;-8.013;-43.872
2205953;-7.443;-40.661
2206001;-7.121;-43.894
2206050;-7.463;-41.126
2206100;-3.716;-42.556
2206209;-4.166;-42.895
2206308;-5.681;-42.739
2206357;-4.684;-41.422
2206407;-5.564;-42.608
2206506;-6.996;-41.03
2206605;-9.754;-45.304
2206654;-9.725;-43.901
2206670;-3.743;-42.312
2206696;-3.319;-42.094
2206704;-6.973;-42.672
2206720;-5.089;-42.802
2206753;-4.631;-42.173
2206803;-3.979;-42.621
2206902;-6.449;-41.939
2206951;-5.288;-41.933
2207009;-7.025;-42.131
2207108;-5.841;-42.575
2207207;-7.355;-40.904
2207306;-7.778;-42.256
2207355;-7.856;-42.822
2207405;-8.727;-44.236
2207504;-5.978;-43.063
2207553;-7.104;-41.704
2207603;-10.227;-44.639
2207702;-2.905;-41.777
2207751;-5.858;-42.44
2207777;-7.668;-41.244
2207793;-5.261;-42.394
2207801;-8.144;-41.15
2207850;-7.966;-43.223
2207900;-4.425;-41.459
2207934;-8.068;-42.285
2207959;-8.087;-42.052
2208007;-7.077;-41.467
2208106;-6.245;-41.419
2208205;-6.838;-40.579
2208304;-3.928;-41.709
2208403;-4.273;-41.777
2208502;-3.893;-42.71
2208551;-6.967;-44.182
2208601;-5.667;-42.207
2208650;-8.579;-41.419
2208700;-9.487;-44.586
2208809;-6.238;-42.688
2208858;-10.125;-44.953
2208874;-7.691;-42.713
2208908;-7.558;-45.242
2209005;-7.775;-43.142
2209104;-7.185;-41.768
2209153;-5.804;-41.956
2209203;-9.112;-45.922
2209302;-8.954;-44.129
2209351;-6.948;-41.519
2209377;-6.799;-42.288
2209401;-6.981;-41.234
2209450;-6.047;-42.71
2209500;-7.43;-41.911
2209559;-8.962;-43.004
2209609;-5.933;-42.114
2209658;-8.238;-41.686
2209708;-7.251;-42.543
2209757;-10.03;-45.303
2209807;-5.993;-42.703
2209856;-6.817;-41.343
2209872;-3.956;-41.258
2209906;-5.514;-41.899
2209955;-6.942;-41.89
2209971;-3.819;-42.446
2210003;-8.358;-42.247
2210052;-3.811;-41.833
2210102;-7.494;-42.564
2210201;-6.872;-41.475
2210300;-7.085;-40.826
2210359;-9.169;-42.545
2210375;-6.825;-41.324
2210383;-5.864;-42.186
2210391;-7.586;-42.37
2210409;-5.504;-41.323
2210508;-5.929;-42.719
2210607;-9.015;-42.699
2210623;-10.817;-44.834
2210631;-7.566;-44.064
2210656;-4.918;-41.732
2210706;-7.599;-40.818
2210805;-7.854;-41.91
2210904;-7.866;-42.491
2210938;-7.043;-41.384
2210953;-8.4;-42.914
2210979;-6.6;-42.282
2211001;-5.089;-42.802
2211100;-4.586;-42.864
2211209;-7.229;-44.556
2211308;-6.408;-41.746
